"Nombre","Especie","Familia","Orden","Clase","Habitat","Dieta","Gestacion","Numero de crias","Vida"
"Elefante africano de sabana","Loxodonta africana","Elephantidae","Proboscidea","Mammalia","Áreas de sabana seca y de matorral, donde la agricultura es marginal.","Herbívoros generalistas, se alimentan de una gran variedad de hierbas y material herbáceo que incluye raíces, hojas, frutos, ramas, cortezas y semillas.","640-660 días.","1","50-70 años."
"Estornino púrpura","Lamprotornis purpureus","Sturnidae","Passeriformes","Aves","Viven en zonas de sabana abierta y arbolada.","Se alimenta principalmente de frutas e insectos.","15 días.","2-3","13-17 años."
"Estornino real","Cosmopsarus regius","Sturnidae","Passeriformes","Aves","Vive en zonas de sabana, en bosques abiertos y matorrales de acacias.","Se alimenta principalmente de insectos, complementa su dieta con frutas.","11-14 días.","3-5","12-14 años."
"Estornino soberbio","Lamprotornis superbus","Sturnidae","Passeriformes","Aves","Vive en ambientes de sabana, en zonas de pradera, y también en zonas agrícolas, urbanas y suburbanas.","Se alimentan de termitas, saltamontes y otros insectos que encuentran por el suelo, así como de pequeñas bayas que recolectan.","12 días.","3-4","17 años."
"Facoquero","Phacochoerus africanus","Suidae","Artiodactyla","Mammalia","Se encuentra en todo tipo de sabanas; herbáceas, arbustivas y arboladas, preferentemente con reservas de agua y grandes espacios abiertos.","Dieta omnívora compuesta de hierbas, raíces, bayas, corteza y ocasionalmente de hongos, huevos y carroña, así como pequeños mamíferos, reptiles y aves. El alimento ingerido varía estacionalmente en función de la disponibilidad, este oportunismo y la versatilidad de la dieta constituyen una excelente estrategia que garantiza su supervivencia.","170-175 días.","1-7","7-11 años."
"Gacela Mhorr","Nanger dama mhorr","Bovidae
 Antilopinae","Artiodactyla","Mammalia","En la parte occidental del norte de África, la gacela Mhorr solía encontrarse en zonas de estepas montañosas secas y de estepas herbáceas.","Animal pastador, se alimenta principalmente de hojas de acacias, de duros y ásperos pastos, de matorrales y de granos de mijo.","Entre 174-202 días.","1","12 años en la naturaleza y hasta 19 en cautividad."
"Gacela de Thomson","Eudorcas thomsonii","Bovidae
 Antilopinae","Artiodactyla","Mammalia","Viven en sabanas, en zonas secas, de herbazal y de matorral. También adaptadas a vivir en zonas áridas y son capaces de permanecer en sabanas secas durante más tiempo que otros ungulados de la misma región, los cuales migran a zonas más húmedas.","Herbívora a base principalmente de pastos de pequeño tamaño, también se alimentan de ramitas, semillas y hojas de árboles, especialmente durante la estación seca.","Alrededor de 180 días.","1","10 años."
"Grulla coronada cuelligrís","Balearica regulorum","Gruidae","Gruiformes","Aves","Generalmente se encuentra en praderas cercanas a masas de agua, donde suelen hacer sus nidos, sin embargo, a menudo se alimentan en sabanas abiertas, e incluso se la observa también se encuentran en tierras de cultivo.","Son omnívoros generalistas y se alimentan de insectos, de pequeños animales como lagartos y gusanos y de semillas.","28-31 días.","2-4","22 años en la naturaleza y 25 en cautividad."
"Hiena manchada","Crocuta crocuta","Hyaenidae
 Hyaeninae","Carnivora","Mammalia","La hiena ocupa una gran variedad de hábitats; regiones áridas y abiertas que incluyen zonas semidesérticas, sabanas, bosques de acacias, zonas pantanosas y áreas montañosas de hasta 4000 metros de altitud. Aunque necesitan agua para beber, son capaces de vivir en zonas con poca disponibilidad.","Diferentes especies de antílopes, cebras, búfalos, ñus, zorros, leones jóvenes y en ocasiones carroña.","117 días.","1-4, siendo la media 2.","12 años."
"Ibis sagrado","Threskiornis aethiopicus","Threskiornithidae","Ciconiiformes","Aves","Vive en una amplia variedad de hábitats, generalmente se encuentran en las proximidades de ríos, corrientes, masas de agua continental y zonas costeras de áreas tropicales y subtropicales.","Se alimentan principalmente de insectos, arácnidos, anélidos, crustáceos y moluscos. En ocasiones se alimentan de ranas, reptiles, peces, pequeños pájaros y huevos.","21-29 días.","1-5","20 años."
"Impala","Aepyceros melampus","Bovidae
 Antilopinae","Artiodactyla","Mammalia","En zonas de sabana, donde prefiere los márgenes entre los herbazales y los terrenos arbolados densos, ya que necesita forraje de gran calidad, humedad, sombra y cubierto. Ocupa los herbazales durante las lluvias y los terrenos arbolados en la estación seca.","Pasta casi exclusivamente durante la estación lluviosa, cuando llega la estación seca el porcentaje de gramíneas disminuye hasta un 30% de su dieta y ramonea arbustos, herbáceas, vainas y semillas.","Alrededor de 195-200 días.","1","13 años en la naturaleza y hasta 17 en cautividad."
"Jabirú africano","Ephippiorhynchus senegalensis","Ciconiidae","Ciconiiformes","Aves","Vive en grandes humedales de agua dulce, salobre o salada, tales como marjales de aguas superficiales, márgenes de ríos y orillas de lagos, zonas pantanosas y llanuras de aluvión, en los que haya abundante presencia de peces y grandes árboles cerca para anidar.","Su dieta consiste principalmente en peces de 15-30 cm de longitud y de más de 500 g de peso, así como crustáceos, ranas, reptiles, pequeños mamíferos, moluscos e insectos.","30-35 días.","1-5","12 años en la naturaleza y 19 en cautividad."
"Jirafa Baringo","Giraffa camelopardalis rothschildi
Giraffa camelopardalis","Giraffidae","Artiodactyla","Mammalia","Se encuentran en todo tipo de ambientes de sabana, si bien prefieren áreas ricas en acacias, los machos suelen aventurarse en el interior de densas arboledas en busca de más follaje. Debido a que sólo beben ocasionalmente, las jirafas pueden encontrarse lejos de fuentes de agua.","Hojas, ramas y flores principalmente de diferentes especies de acacia.","Alrededor de 450 días.","1","De 10-15 años en la naturaleza y de 20-27 en cautividad."
"León africano","Panthera leo bleyenberghi
Panthera leo","Felidae
 Pantherinae","Carnivora","Mammalia","Sabana africana y zonas semidesérticas.","Carnívoros generalistas, aunque los ungulados de mediano y gran tamaño ocupan la mayor parte de su dieta, pueden alimentarse de una gran variedad de vertebrados, desde pequeños ratones hasta jóvenes rinocerontes, hipopótamos y elefantes, pasando por pájaros, reptiles, peces e incluso insectos.","92-119 días.","1-4","12 años en la naturaleza, hasta 25 años en cautividad."
"Mangosta enana","Helogale parvula undulata","Herpestidae
 Mungotinae","Carnivora","Mammalia","Se encuentra en un amplio rango de hábitats, principalmente en sabana, sabana arbolada, zonas boscosas y zonas de matorral seco, terrenos áridos y semiáridos. Se encuentran estrechamente relacionadas con termiteros, que usan como madrigueras.","Predominantemente insectívora, especialmente a base de termitas y escarabajos, pero también ciempiés, larvas de escarabajo y ocasionalmente pequeños vertebrados (pequeños mamíferos, geckos, serpientes y pájaros).","55 días.","1-6","13 años en la naturaleza y hasta 18 años en cautividad."
"Mangosta rayada","Mungos mungo","Herpestidae
 Mungotinae","Carnivora","Mammalia","Se encuentra en un amplio rango de hábitats, principalmente en sabanas, sabanas arboladas, zonas boscosas, zonas de matorral seco y áreas rocosas de la sabana. Se encuentran estrechamente relacionadas con termiteros.","Predominantemente insectívora, especialmente a base de escarabajos y larvas de ciempiés, y ocasionalmente pequeños vertebrados (incluyendo huevos, ratones, ratas, ranas, lagartos y serpientes).","60 días.","1-4","17 años."
"Marabú africano","Leptoptilos crumeniferus","Ciconiidae","Ciconiiformes","Aves","Vive en una gran variedad de hábitats, desde sabanas secas, pastos y llanuras, zonas pantanosas, orillas de ríos y lagos y otros humedales.","Se alimentan principalmente de carroña y restos de peces desechados por los humanos, secundariamente también se alimentan de presas vivas, como peces, termitas, langostas, ranas, lagartos y serpientes, ratas y ratones y aves.","30 días.","2-3 huevos.","25 años en la naturaleza y hasta 44 en cautividad."
"Oricteropo","Orycteropus afer","Orycteropodidae","Tubulidentata","Mammalia","Sabana abierta, zonas semiáridas y claros de bosque; generalmente en suelos arenosos o de arcilla donde es fácil cavar y en lugares donde haya una gran abundancia de hormigas y termitas.","Hormigas, termitas y ocasionalmente larvas de insectos (principalmente escarabajos).","243 días.","1 y rara vez 2.","18 años."
"Paloma de Guinea","Columba guinea","Columbidae","Columbiformes","Aves","Vive en ambientes de sabana, en zonas con árboles altos, acantilados o paredes rocosas que puedan ser usados para anidar o descansar.","Se alimenta de semillas y pequeños frutos que recolecta del suelo.","15-16 días.","2","10-15 años."
"Pintada moñuda","Guttera pucherani pucherani","Numididae","Galliformes","Aves","Vive generalmente en zonas secas y montañosas, tales como bosques de acacias poco densos, sabanas o desiertos.","Omnívora a base de granos, semillas, bulbos, raíces, frutos, insectos, pequeños invertebrados e incluso pequeños reptiles.","28 días.","4-10","12 años."
"Pitón real","Python regius","Boidae","Squamata","Reptilia","Vive en zonas boscosas, matorrales, tierras semiáridas y agrícolas, siempre cercanas al agua","Se alimenta principalmente de roedores, también pequeños conejos y ocasionalmente de aves y reptiles.","44-54 días.","4-12","15-30 años en la naturaleza y por encima de 40 en cautividad."
"Pitón de Seba","Python sebae","Boidae","Squamata","Reptilia","Tienen preferencia por los bosques húmedos o de hoja perenne y sabanas abiertas. Suelen frecuentar afloramientos rocosos que utilizan para ocultarse, así como madrigueras de mamíferos en las zonas menos rocosas. Con frecuencia se encuentran también cerca de ríos y lagos.","Se alimentan principalmente de vertebrados terrestres. Los individuos jóvenes, se alimentan de pequeños mamíferos, especialmente ratas. Una vez son adultos, se alimentarán de presas de mayor tamaño, como primates, cocodrilos, lagartos grandes, y antílopes","65-80 días.","20-50","20-30 años."
"Puercoespín sudafricano","Hystrix africaeaustralis","Hystricidae","Rodentia","Mammalia","En su área de distribución, se encuentran en ambientes con vegetación comprendidos entre el nivel del mar y los 2000 m de altitud. Prefieren zonas con colinas y afloramientos rocosos donde pueden encontrar refugio durante el día.","Raíces, bulbos, tubérculos y corteza de árboles. Ocasionalmente carroña o esqueletos viejos, que roen en busca de sales minerales.","Alrededor de 94 días.","1-4","Hasta 15 años en la naturaleza y hasta 23 en cautividad."
"Rata gambiana","Cricetomys gambianus","Nesomyidae","Rodentia","Mammalia","Vive en una gran variedad de hábitats que van de zonas áridas a zonas templadas, en un rango de altitud desde el nivel del mar a los 2000 metros, y en los que necesita algún tipo de refugio para sobrevivir, tales como huecos de árboles, roquedales, o madrigueras hechas por otros animales. Ocasionalmente se aventura en zonas urbanas donde llega a formar plagas.","Son omnívoras, se alimentan de una gran variedad de frutas, vegetales, nueces, raíces, tubérculos, e incluso termitas o caracoles.","30-32 días.","1-5","5-7 años."
"Rata topo desnuda","Heterocephalus glaber","Bathyergidae","Rodentia","Mammalia","Viven en túneles subterráneos que realizan en las sabanas del este de África, sus sistemas de túneles llegan hasta los 2 metros de profundidad y se encuentran en zonas situadas entre los 1100-3000 metros de altitud.","Se alimentan de raíces, bulbos y tubérculos, que son accesibles bajo tierra. En ocasiones viajan grandes distancias para encontrar sus alimentos preferidos, suelen dejar partes de la planta intactas para que continúen creciendo y puedan volver en futuras ocasiones. Una vez encontrada la comida vuelven al nido, donde la almacenan.","70 días.","7","25-30 años."
"Ratón espinoso","Acomys cahirinus","Muridae","Rodentia","Mammalia","Suelen vivir en hábitats áridos y rocosos, como cañones o acantilados, pero también en grietas de edificios humanos, siempre en altitudes por debajo de los 1500 m. También se les encuentra en zonas de gravas erosionadas, pero generalmente nunca en zonas arenosas.","Omnívoros y oportunistas, se alimentan de semillas, frutas, plantas secas, arañas, pequeños insectos e incluso caracoles. En poblaciones que viven cerca de los humanos, se alimentan también de grano y comida almacenada.","35-42 días.","1-5","4 años."
"Ratón pigmeo africano","Mus minutoides","Muridae","Rodentia","Mammalia","Suelen vivir en prados y sabanas, en madrigueras familiares que ellos mismos excavan bajo troncos caídos o montones de rocas.","Omnívoros y oportunistas, se alimentan de semillas, frutas, plantas secas, arañas y pequeños insectos. En poblaciones que viven cerca de los humanos, se alimentan también de grano y comida almacenada.","20 días.","1-6","2 años."
"Rinoceronte blanco sureño","Ceratotherium simum simum","Rhinocerotidae
 Dicerotinae","Perissodactyla","Mammalia","Por su actividad estrictamente pastadora, su hábitat se restringe a zonas de sabana herbácea con hierbas bajas, acceso a sombra y fuente de agua","Pastizales, prefiriendo especies herbáceas de poca altura.","480 días.","1","40-45 años."
"Saltarrocas","Oreotragus oreotragus","Bovidae
 Antilopinae","Artiodactyla","Mammalia","Variado, como por ejemplo, terrenos escarpados, montañas o desfiladeros y cañones de ríos, en todos los casos con el suelo rocoso o pedregoso y con abundante vegetación corta.","Ramonea hierbas y follaje a baja altura, las gramíneas constituyen un parte importante de su dieta durante la estación lluviosa.","Alrededor de 210-225 días.","1","12-15 años."
"Suricata","Suricata suricatta","Herpestidae
 Mungotinae","Carnivora","Mammalia","Zonas abiertas y semiáridas, a menudo rocosas y praderas. Viven en madrigueras propias o de otros pequeños mamíferos muy extensas con múltiples entradas y cámaras donde la temperatura se mantiene más estable y confortable que en el exterior.","Insectívora, especialmente escarabajos, arácnidos y larvas de ciempiés, ocasionalmente también se alimentan de pequeños vertebrados (incluyendo lagartos y pequeñas serpientes), huevos y fruta.","70-80 días.","3","10 años."
"Turaco cariblanco","Tauraco leucotis","Musophagidae","Cuculiformes","Aves","Vive en bosques de alta montaña, de 2200-3200 m de altitud.","Se alimentan principalmente de fruta, aunque complementan su dieta con insectos.","22-23 días.","2","10-12 años."
"Boa de Duméril","Acrantophis dumerili","Boidae","Squamata","Reptilia","La Boa de Duméril habita en bosques secos pero no está restringida a hábitats intactos. Se han encontrado poblaciones en hábitats muy degradados como bosques de eucaliptos o aldeas, encontrándose siempre desde el nivel del mar hasta los 1.300m de altitud. También se encuentran en la sabana situada en las tierras altas centrales de la isla.","Se alimenta de vertebrados terrestres silvestres y aves domésticas.","6 – 8 meses.","De 6 a 13 crías.","No encontrado."
"Bongo oriental","Tragelaphus eurycerus isaaci","Bovidae
 Bovinae","Artiodactyla","Mammalia","Habita en bosques de montaña entre arboledas espesas y zonas de bambú, este tipo de ecosistemas proporciona al bongo la cobertura necesaria para su protección y a la vez el alimento necesario para su supervivencia.","Ramoneador estricto, el bongo se alimenta principalmente de hojas y brotes de arbustos y de plantas trepadoras, aunque también busca la madera, corteza y frutas podridas.","285 días.","1","18 años en cautividad."
"Búfalo rojo","Syncerus caffer nanus","Bovidae
 Bovinae","Artiodactyla","Mammalia","Aunque el búfalo rojo prefiere prados abiertos, zonas pantanosas y cursos de agua de las selvas lluviosas, puede observarse en sabanas arboladas de áreas más secas.","Hierba, ramitas y brotes tiernos.","300 días.","300 días.","1"
"Camaleón pantera","Furcifer pardalis","Chamaeleonidae","Squamata","Reptilia","Tierras bajas de bosques caducifolios cercanos a agua o caminos. Hábitats abiertos no muy sombreados.","Invertebrados terrestes, pocas veces materia vegetal.","3-6 semanas.","10-46 huevos","Cautividad 5-6 años, libertad 1-3 años."
"Cercopiteco de Brazza","Cercopithecus neglectus","Cercopithecidae","Primates","Mammalia","Se encuentran en bosques, zonas pantanosas y aéreas temporalmente inundadas, prefieren la vegetación densa y generalmente se encuentran a menos de 1 km de los ríos.","Aunque es omnívoro, el 50-75% de su dieta son frutos y semillas, compensa los déficits con hojas y flores y también puede alimentarse de hongos, escarabajos, termitas y gusanos.","168 días.","1","22 años en la naturaleza y hasta 30 años en cautividad."
"Chimpancé","Pan troglodytes","Hominidae","Primates","Mammalia","Se encuentra principalmente en selvas lluviosas y bosques de galería, también en bosques de ribera, de montaña y claros de selva, pudiendo adentrarse además en sabanas arboladas.","Es omnívoro, alimentándose principalmente de frutas (la mitad de su dieta), hojas, cortezas y tallos. También se nutre de termitas y otros insectos, aves, huevos y pollos, y ocasionalmente pequeños mamíferos (entre ellos otros primates).","240 días.","1","40-60 años."
"Cocodrilo enano","Osteolaemus tetraspis","Crocodylidae","Crocodylia","Reptilia","Vive en los cursos de agua dulce de los bosques y selvas ecuatoriales.","Se alimenta principalmente de peces, cangrejos y anfibios.","100 días.","11-20","70 años."
"Cucaracha silbadora","Gromphadorhina portentosa","Blaberidae","Blattodea","Insecta","Se encuentra en las selvas lluviosas tropicales de las tierras bajas de Madagascar, generalmente debajo de troncos de árboles muertos, en el suelo de la selva, o en zonas en contacto con los humanos en vertederos.","Son detritívoros, se alimentan generalmente de restos de materia vegetal, incluida la fruta caída debido a su fácil disponibilidad, también se alimentan de insectos más pequeños y de cuerpos y restos de otros animales.","60-70 días.","15-40","2-5 años."
"Dril","Mandrillus leucophaeus","Cercopithecidae","Primates","Mammalia","Selvas y bosques; pueden ser selvas lluviosas, bosques de galería y bosque montañosos.","Omnívoro, raíces, tubérculos, frutas, brotes y otras materias vegetales son complementados con caracoles, gusanos, insectos, ranas, lagartijas, culebras, ratones y otros pequeños mamíferos.","179-182 días.","1","Se estima que supera los 28 años."
"Duiker rojo de Natal","Cephalophus natalensis","Bovidae
 Antilopinae","Artiodactyla","Mammalia","Bosques perennes, selvas tropicales y subtropicales, matorrales costeros y vegetación de ribera.","Hojas, frutos y flores de diferentes especies ribereñas de árboles, arbustos y hierbas.","210 días.","1","Hasta 15 años en cautividad."
"Escorpión emperador","Pandinus imperator","Scorpionidae","Scorpiones","Arachnida","Selvas tropicales. Suelen vivir en túneles en colonias de unos 15 individuos.","Insectos y otros artrópodos, y en ocasiones pequeños vertebrados. Generalmente se alimenta de termitas.","Ovovivíparo.","10-12","5-8 años en cautividad, mucho menos en la naturaleza."
"Ganso del Nilo","Alopochen aegyptiacus","Anatidae","Anseriformes","Aves","Pasa la mayor parte de su tiempo en ríos, arroyos, lagos, estanques y humedales, siempre en praderas, pastizales y campos de cultivo, evitando áreas boscosas densas.","Principalmente herbívora a base de brotes de hierbas, granos de cultivos y hojas tiernas, complementan su dieta con una amplia variedad de pequeños insectos, gusanos terrestres y ranas.","28-30 días.","5-12.","Hasta 14 años en cautividad."
"Gecko de Madagascar","Phelsuma madagascariensis","Gekkonidae","Squamata","Reptilia","El gecko de Madagascar es arbóreo, vive en árboles de selvas lluviosas tropicales, así como en árboles de zonas abiertas y áreas agrícolas.","Se alimenta principalmente de una amplia variedad de artrópodos, aunque ocasionalmente también se alimenta de frutos y néctar. Su principal fuente de agua es la se forma por condensación sobre las hojas.","47-82 días.","2","15 años."
"Gorila occidental de costa","Gorilla gorilla gorilla","Hominidae","Primates","Mammalia","Suele encontrarse en los márgenes de las selvas, selvas secundarias, bosques de ribera y claros de selva.","Un porcentaje muy alto en su dieta es vegetariana, ingiriendo una gran cantidad de plantas herbáceas, fruta, matorrales, plantas trepadoras y savia. También se alimentan de termitas, pero en un porcentaje más bajo en comparación con los vegetales.","260 días.","1","Alrededor de 50 años."
"Grulla coronada cuellinegra","Balearica pavonina","Gruidae","Gruiformes","Aves","Vive en sabanas abiertas tanto secas como húmedas, aunque prefiere marjales de agua dulce, praderas húmedas y las periferias de masas de agua superficiales.","Son omnívoros generalistas, se alimentan principalmente de granos de cosechas, también pueden alimentarse de pequeñas plantas, de pequeños invertebrados, como insectos, moluscos, milpiés o crustáceos, y de pequeños vertebrados, como peces, anfibios o reptiles.","28-31 días.","2-5","20-25 años."
"Hipopótamo pigmeo","Choeropsis liberiensis","Hippopotamidae","Artiodactyla","Mammalia","Habita en zonas de selva densa, principalmente en pequeños ríos en el interior de las selvas húmedas.","Hojas, plantas acuáticas, frutos caídos, raíces y tubérculos. Usa sus gruesos labios llevarse la comida a la boca.","196-201 días.","1","Hasta 55 años en cautividad."
"Leopardo","Panthera pardus
Panthera pardus kotiya","Felidae
 Pantherinae","Carnivora","Mammalia","Viven en una gran variedad de ambientes, sabanas, zonas arboladas y bosques y selvas. También habita zonas montañosas y desérticas.","Generalmente cazan ungulados de tamaño medio, como antílopes, gacelas, ciervos, cerdos o ganado y también primates. Como buenos carnívoros oportunistas que son, se alimentan además de aves, reptiles, roedores o artrópodos. Prefieren presas de entre 10-40 kg. Se ha observado también como sustraen comida a otros animales, como guepardos, hienas solitarias y otros pequeños carnívoros.","97 días.","2-3","10-12 años en la naturaleza, hasta 20-22 en cautividad."
"Mangabey de coronilla blanca","Cercocebus atys lunulatus","Cercopithecidae","Primates","Mammalia","Principalmente terrestres, residen en bosques de galería, palmerales, manglares y zonas pantanosas.","Los frutos, incluidos carne y cáscaras de frutos muy duros, son sus alimentos básicos. También se alimentan de semillas, hojas y pequeños animales invertebrados.","163-167 días.","1","18 años en la naturaleza y 27 años en cautividad."
"Nutria de cuello moteado","Hydrictis maculicollis","Mustelidae
 Lutrinae","Carnivora","Mammalia","Ríos, lagos y pantanos de agua dulce, ausente en zonas costeras o estuarios. Rara vez se aleja más de 10 metros del agua y prefiere zonas de aguas limpias y claras, orillas cubiertas de juncos y hierbas altas, baja contaminación y sin cocodrilos.","Peces (Barbus, Clarias, Haplochromis, Micropterus salmoides, Salmo trutta y Tilapia), cangrejos (Potomonautes) y ranas (Xenopus laevis y Rana). En primavera, verano y otoño se alimenta principalmente de cangrejos mientras que en invierno predomina la ingesta de peces. Ocasionalmente también se alimenta de insectos y pájaros.","60 días.","2-3","22 años."
"Pato negro","Anas sparsa","Anatidae","Anseriformes","Aves","Prefiere ríos de aguas poco profundas y fluidas así como corrientes de agua con sustrato rocoso. También se encuentra en zonas abiertas y áridas, embalses, lagunas o estuarios, e incluso en aguas estancadas o charcas de aguas residuales.","Omnívora a base de algas y otras plantas acuáticas, vegetación agrícola, frutas de plantas terrestres que cuelgan sobre el agua, moras y otras bayas, frutos caídos, insectos acuáticos y sus larvas, crustáceos, larvas de anfibios y huevos de peces.","No hay información disponible.","No hay información disponible.","No hay información disponible."
"Potamoquero rojo","Potamochoerus porcus pictus","Suidae","Artiodactyla","Mammalia","Principalmente ocupa zonas boscosas y orillas pantanosas de las selvas lluviosas ecuatoriales donde hay una cubierta vegetal importante. En las zonas de transición con la sabana, frecuentemente visita zonas de sabana seca, sabana arbolada e incluso zonas de cultivo.","Omnívoro generalista, con marcada preferencia por raíces y tubérculos, también incluye en su dieta frutos, hierbas, plantas acuáticas, bulbos, insectos, huevos de aves, carroña.","120-130 días.","1-4 (rara vez 6).","12-15 años."
"Sitatunga occidental","Tragelaphus spekiigratus","Bovidae
 Bovinae","Artiodactyla","Mammalia","Animal de hábito semiacuático, limita muchas de sus actividades a zonas pantanosas ricas en vegetación, cañaverales densos, entornos de ríos, riachuelos y lagos y bajíos arbolados.","Cañas, plantas acuáticas y hierbas, ocasionalmente ramonea.","247 días.","1","19 años."
"Talapoín norteño","Miophitecus ogouensis","Cercopithecidae","Primates","Mammalia","Habita en los bosques y selvas de vegetación primaria y secundaria; bosques de galería, bosques pantanosos, manglares. Siempre cerca de las orillas de los ríos u otros cursos de agua.","Los frutos constituyen casi el 80% de su dienta, aunque también se alimenta de hojas, semillas e invertebrados.","158-166 días.","1","28 años."
"Tortuga leopardo","Geochelone pardalis","Testudinidae","Testudines","Reptilia","Generalmente vive en zonas de sabana y en praderas semiáridas, pero también se la suele encontrar en zonas más desérticas y en algunas zonas montañosas.","Estrictamente herbívora, se alimentan generalmente de plantas suculentas, cardos y hierba.","140-180 días.","5-30","100 años."
"Cocodrilo del Nilo","Crocodylus niloticus","Crocodylidae","Crocodylia","Reptilia","Viven en una gran variedad de ecosistemas acuáticos tales como lagos, ríos, humedales y pantanos de agua dulce y salobre, zonas costeras, marismas o estuarios.","Cuando son pequeños se alimentan de pequeños invertebrados acuáticos e insectos. En la edad adulta, sus presas son principalmente grandes vertebrados, como antílopes, búfalos, cebras, ñus, etc. Los peces y los pequeños vertebrados también son parte importante de su dieta.","80-90 días.","40-60 huevos.","45 años."
"Espátula africana","Platalea alba","Threskiornithidae","Ciconiiformes","Aves","Vive en amplias zonas de humedal de aguas superficiales, tales como lagos, ríos, marjales, llanuras de aluvión y zonas pantanosas permanentes o temporales, así como estanques artificiales. Es menos frecuente en lagunas costeras y estuarios.","Carnívora a base de pequeños peces, ranas e invertebrados acuáticos.","26-29 días.","2 – 4","25-30 años."
"Hipopótamo común","Hippopotamus amphibius","Hippopotamidae","Artiodactyla","Mammalia","Aguas profundas de ríos, lagos y riachuelos con lechos de cañas adyacentes y prados.","Florívoro, aunque principalmente pastan en las riberas de los ríos, han sido vistos alimentándose de vegetación acuática y ocasionalmente de carroña y pequeños animales en respuesta a sus restricciones nutricionales. Usa sus finos labios para llevarse la comida a la boca.","227-240 días.","1","40-50 años."
